,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
333,finals_2021_334,3,,,2293233.8689932744,23677998.53360728,,0.0,
334,finals_2021_335,3,-452805.5020615427,,,5519678.023544254,,0.0,
335,finals_2021_336,3,,-120089.12235241033,,-19390.10467296969,,0.0,
336,finals_2021_337,3,,,-2085.1926586903,,2127422.836574624,,3834996.19043788
337,finals_2021_338,3,-238943.4863265601,,,,681595.4347713824,,2099183.5007072417
338,finals_2021_339,3,711265.8103340698,,-22433.69627990941,,,,10391449.99623553
339,finals_2021_340,3,,-316272.4644554207,,,-579307.3992969095,,1424308.351076212
340,finals_2021_341,3,,3525394.728590235,-173476.16118238415,,,,10775919.46181424
341,finals_2021_342,3,1149468.467822458,1434922.0181071009,,,,,5598640.064408497
342,finals_2021_343,3,,,,-699318.6582464799,-306784.53800548665,,-24105.87422876925
343,finals_2021_344,3,,,2265444.0894922107,-7749003.109554215,,,-411927.8622103553
344,finals_2021_345,3,-121833.87768403688,,,-1407319.4083377318,,,2315099.18718679
345,finals_2021_346,3,,-254530.71625123132,,1029445.416271452,,,1291293.548481724
346,finals_2021_347,3,,,,,2582263.599073641,-409947.6102968365,2989640.553904271
347,finals_2021_348,3,,,-76993.03950992659,,,0.0,15083432.367589442
348,finals_2021_349,3,-414723.1248325643,,,,,-68004.45663751487,3199724.241303194
349,finals_2021_350,3,,-767738.5720236907,,,,0.0,11972297.85024622
350,finals_2021_351,3,,,,-186215.6859998434,,258676.0503288834,2372260.236320416
351,finals_2021_352,3,2575110.312409546,,-1315.7887812890287,,6810068.27855587,,
352,finals_2021_353,3,,8337642.643848662,107360.72622600122,,8351225.331183322,,
353,finals_2021_354,3,672861.7126443896,603969.0003350816,,,3332976.0985376188,,
354,finals_2021_355,3,1770350.3765565795,14646841.039806137,2507960.072282424,,,,
355,finals_2021_356,3,,,-78947.91434978489,1161257.4243963703,1765716.3460123283,,
356,finals_2021_357,3,25575.70264652281,,,1441864.483197778,1969854.4523690764,,
357,finals_2021_358,3,184911.49451798163,,653567.5010886509,4796039.81802466,,,
358,finals_2021_359,3,,580720.8523826312,,129313.75667676736,1375686.437997813,,
